location,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,tests_per_case,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality,excess_mortality_cumulative_per_million
Liberia,0,0,0,0,2,19,19,80,1065,1065,1064,1065,1065,1051,1063,1028,1028,1032,1051,487,487,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1065
Libya,0,0,0,20,20,29,30,129,1078,1078,1078,508,918,1030,1054,966,966,983,1030,439,439,45,0,0,0,0,0,1078,0,0,1078,1078,1078,0,0,0,0,1078,1078
Liechtenstein,0,0,0,0,2,31,32,214,1078,1078,480,480,535,885,771,645,645,667,885,298,298,45,0,1078,1078,1078,1078,1078,1078,0,1078,1078,1078,0,0,0,0,1051,1051
Lithuania,0,0,0,0,1,5,19,50,1063,521,241,241,247,387,368,334,334,352,387,285,285,45,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,921,921
Low income,1088,0,0,1,0,19,0,1088,1088,1088,1088,1088,1088,708,368,368,368,412,708,368,368,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,0,1088,1088
Lower middle income,1120,0,0,1,0,11,0,1120,1120,1120,1120,1120,1120,564,362,356,356,372,564,362,362,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,1120,1120
Luxembourg,0,0,0,6,7,20,22,67,10,31,241,244,248,468,469,396,396,1013,468,314,314,45,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,943,943
Macao,0,0,0,0,2,893,893,1120,1120,1120,1120,1120,1120,918,758,681,729,737,918,389,447,45,0,0,0,0,0,1120,1120,1120,1120,1120,1120,1120,0,1120,0,1085,1085
Madagascar,0,0,0,0,1,58,58,66,1062,1062,785,858,332,1045,1061,1014,1010,1022,1045,449,449,45,0,0,0,0,0,0,0,0,1062,1062,0,0,0,0,0,1062,1062
Malawi,0,0,0,4,6,9,10,101,1053,1053,742,845,246,1041,854,783,783,840,1041,391,391,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,1053
Malaysia,0,0,0,1,2,53,54,89,60,60,240,240,252,586,398,397,397,397,586,398,398,45,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,1085,1085
Maldives,0,0,0,0,0,52,52,90,1074,1074,372,372,355,968,795,714,714,773,968,389,389,1074,0,0,0,0,0,1074,0,0,0,0,0,1074,0,0,0,1052,1052
Mali,0,0,0,0,0,4,4,62,1057,1057,1032,1056,961,1057,1057,983,983,987,1057,401,401,45,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,1057,1057
Malta,0,0,0,2,3,34,35,62,924,387,374,375,382,1003,377,362,363,368,1003,319,319,45,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,934,934
Marshall Islands,0,0,0,174,175,824,824,868,1014,1014,992,992,1005,1014,1014,1014,1014,1014,1014,1014,1014,1014,0,1014,1014,1014,0,1014,0,0,1014,1014,0,0,0,0,0,1014,1014
Mauritania,0,0,0,0,1,16,16,110,1068,1068,901,989,283,1043,1063,995,985,991,1043,429,429,45,0,0,0,0,0,0,0,0,1068,1068,0,1068,0,0,0,1068,1068
Mauritius,0,0,0,0,6,7,7,55,1064,1064,1061,1064,990,1036,1063,1006,1008,1013,1036,358,358,45,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,1036,1036
Mexico,0,0,0,58,63,78,84,121,1141,1141,241,241,298,1117,802,726,734,759,1117,433,433,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,995
Micronesia (country),0,0,0,0,6,550,551,591,755,755,755,755,755,755,755,755,755,755,755,755,755,755,0,0,0,0,0,0,0,0,755,755,755,755,0,0,0,755,755
Moldova,0,0,0,0,0,10,12,59,1074,1074,1074,580,627,1067,865,787,946,818,1067,386,386,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,1043
Monaco,0,0,0,0,2,29,30,157,1082,1082,1082,1082,1082,1081,1082,1056,1058,1058,1081,726,790,45,0,1082,1082,1082,1082,1082,1082,0,1082,1082,1082,0,0,1082,0,1050,1050
Mongolia,0,0,0,0,1,283,283,111,1072,1072,713,769,538,986,847,767,753,798,986,622,632,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,1038
Montenegro,0,0,0,0,0,6,7,58,1065,1065,1065,1065,1065,851,635,580,580,593,851,513,513,1065,0,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,938,938
Montserrat,0,0,0,0,0,37,38,1064,1064,1064,1064,1064,1064,1046,1064,1012,1012,1014,1046,388,388,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,0,1064,0,1064,1064
Morocco,0,0,0,24,24,32,32,88,1104,1104,354,406,276,1071,956,834,851,851,1071,373,395,45,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,1104,1104
Mozambique,0,0,0,0,1,64,66,94,1060,1060,444,502,251,1032,1059,1014,1005,1005,1032,388,388,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1060
Myanmar,0,0,0,0,0,4,5,67,1055,1055,513,573,252,1038,1054,1000,1001,1004,1038,547,547,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1055
Namibia,0,0,0,0,3,118,119,147,1068,1068,421,503,301,1055,959,903,896,910,1055,400,400,45,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,1068,1068
Nauru,0,0,0,361,361,450,450,482,678,678,678,678,678,674,677,661,661,667,674,121,121,678,0,678,678,678,0,678,678,0,0,0,678,0,0,678,0,678,678
Nepal,0,0,0,0,1,112,112,147,1117,1117,348,397,380,989,922,836,833,859,989,396,402,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,1117
Netherlands,0,0,0,0,0,8,13,51,403,403,334,334,340,1036,1084,997,997,1000,1036,482,482,45,0,0,0,0,0,1084,0,0,0,0,1084,0,0,0,0,935,935
New Caledonia,0,0,0,0,2,540,540,1063,1063,1063,1063,1063,1063,1028,1063,970,973,975,1028,322,322,1063,0,0,0,0,1063,1063,1063,0,1063,1063,1063,1063,0,1063,0,1041,1041
New Zealand,0,0,0,0,4,30,33,67,1083,1083,449,572,1083,403,370,367,367,372,403,366,366,45,0,0,0,0,0,1083,0,0,0,0,1083,0,0,0,0,934,934
Nicaragua,0,0,0,0,0,9,10,107,1063,1063,1052,1063,992,1063,1061,973,973,978,1063,359,359,45,0,0,0,0,0,0,0,0,1063,1063,1063,0,0,0,0,1041,1041
Niger,0,0,0,0,1,5,5,58,1062,1062,1033,1058,973,1062,1062,1023,1022,1024,1062,439,439,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1062
Nigeria,0,0,0,0,1,24,26,74,1083,1083,796,921,285,1062,1034,953,953,997,1062,408,408,45,0,0,0,0,0,1083,0,0,0,0,0,1083,0,0,0,1083,1083
Niue,0,0,0,485,485,485,485,485,485,485,485,485,485,482,485,478,479,481,482,1,1,485,485,485,485,485,485,485,485,485,485,485,485,485,0,485,0,485,485
North America,1120,0,0,0,0,38,0,1120,1120,1120,1120,1120,1120,379,332,326,326,326,379,332,332,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,1120,1120
North Korea,0,0,0,729,729,729,729,1006,1006,1006,942,1004,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,0,0,0,0,1006,1006,0,0,1006,1006,1006,0,0,1006,0,1006,1006
North Macedonia,0,0,0,0,1,25,26,69,1085,1085,598,657,277,1025,1000,914,925,940,1025,394,394,1085,0,0,0,0,0,0,0,0,1085,1085,1085,0,0,0,0,1052,1052
Northern Cyprus,0,0,0,691,691,691,691,691,691,691,691,691,691,684,689,664,667,667,684,2,72,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,0,691,691
Northern Ireland,0,0,0,1075,1075,1075,1075,1075,284,11,1075,1075,1075,828,364,344,480,369,828,316,316,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,0,1075,1075
Northern Mariana Islands,0,0,0,610,610,610,610,610,610,610,7,7,29,610,610,610,610,610,610,610,610,610,0,610,610,610,610,610,0,610,610,610,610,610,0,610,0,610,610
Norway,0,0,0,1,1,18,25,54,1086,444,275,275,275,498,398,388,388,415,498,375,375,45,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,937,937
Oceania,1117,0,0,1,0,36,0,1117,1117,1117,1117,1117,1117,425,380,375,375,383,425,380,380,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,0,1117,1117
Oman,0,0,0,0,0,36,37,75,1087,1087,1084,1087,1019,1072,1048,990,997,1005,1072,421,421,45,0,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,1052,1052
Pakistan,0,0,0,0,0,22,22,63,1086,1086,407,483,266,891,861,736,746,827,891,367,367,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,1086
Palau,0,0,0,0,0,173,173,192,542,542,525,542,491,542,542,542,542,542,542,542,542,542,0,542,542,542,0,542,542,0,0,0,542,0,0,0,0,542,542
Palestine,0,0,0,0,0,21,21,68,1077,1077,1077,515,610,1054,952,903,915,1007,1054,510,510,45,0,0,0,0,0,0,0,0,1077,1077,1077,1077,0,0,0,1055,1055
Panama,0,0,0,1,2,2,2,54,1073,1073,285,329,244,1007,1036,939,941,957,1007,322,322,45,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,1053,1053
Papua New Guinea,0,0,0,0,1,131,131,179,1062,1062,1061,1062,1062,1044,1062,999,999,1012,1044,390,390,45,0,0,0,0,0,1062,0,0,0,0,1062,1062,0,0,0,1062,1062
Paraguay,0,0,0,1,4,13,16,72,1075,1075,331,335,331,1017,883,816,829,833,1017,357,357,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,1042
Peru,0,0,0,0,9,0,4,55,1076,1076,350,1076,357,597,350,349,349,370,597,350,350,45,0,0,0,0,0,0,0,0,0,1076,1076,0,0,0,0,940,940
Philippines,0,0,0,0,5,3,5,88,1112,1112,354,356,332,1021,982,861,983,896,1021,422,422,45,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,1081,1081
Pitcairn,0,0,0,441,441,441,441,441,441,441,441,441,441,440,441,435,435,437,440,1,1,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,0,441,441
Poland,0,0,0,0,0,8,8,54,1078,349,959,1078,258,640,475,392,398,414,640,301,301,45,0,0,0,0,0,1078,0,0,0,0,1078,0,0,0,0,930,930
Portugal,0,0,0,1,2,16,16,56,316,307,258,259,266,972,1081,971,971,971,972,318,318,45,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,932,932
Puerto Rico,0,0,0,840,840,840,840,840,840,840,1,1,33,840,840,840,840,840,840,840,840,840,0,0,0,0,0,840,0,0,840,840,840,840,0,840,0,720,720
Qatar,0,0,0,0,0,28,28,55,1082,1082,714,714,1082,948,738,652,919,920,948,314,371,45,0,0,0,0,0,1082,0,0,0,0,1082,0,0,0,0,1048,1048
Romania,0,0,0,0,1,25,26,61,976,378,981,1085,378,1085,556,554,810,575,1085,554,329,45,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,941,941
Russia,0,0,0,0,0,48,48,90,1111,1111,530,641,295,854,739,649,656,671,854,321,321,45,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,1076,1076
Rwanda,0,0,0,0,1,77,77,65,1068,1068,391,471,267,1048,1040,981,980,1013,1048,383,383,45,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,1068,1068
Saint Helena,0,0,0,0,1,891,891,891,891,891,891,891,891,891,891,885,885,888,891,800,800,891,891,891,891,891,891,891,891,891,891,891,891,891,0,891,0,891,891
Saint Kitts and Nevis,0,0,0,0,0,449,449,488,1057,1057,900,995,719,1038,1050,981,985,991,1038,409,404,1057,0,1057,1057,1057,0,1057,1057,0,1057,1057,1057,0,0,0,0,1027,1027
Saint Lucia,0,0,0,0,0,241,241,279,1068,1068,1030,1061,958,1026,976,856,876,880,1026,414,414,1068,0,0,0,0,0,1068,0,0,1068,1068,0,0,0,0,0,1068,1068
Saint Pierre and Miquelon,0,0,0,0,1,667,667,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,0,1046,0,1046,1046
Saint Vincent and the Grenadines,0,0,0,0,1,307,307,321,1068,1068,994,1036,817,1003,1035,932,948,959,1003,394,394,1068,0,0,0,0,0,1068,0,0,1068,1068,1068,0,0,0,0,1046,1046
Samoa,0,0,0,0,1,499,499,531,819,819,819,819,819,799,819,767,767,773,799,169,169,819,0,0,0,0,0,819,0,0,0,0,819,819,0,0,0,819,819
San Marino,0,0,0,0,0,0,0,61,1082,1082,1082,1082,1082,1073,1029,961,1004,1022,1073,633,633,45,0,1082,1082,1082,0,1082,1082,0,1082,1082,1082,0,0,1082,0,1048,1048
Sao Tome and Principe,0,0,0,0,1,25,26,73,1045,1045,1035,1035,982,1031,1045,994,998,1002,1031,395,395,1045,0,0,0,0,0,0,0,0,1045,1045,0,0,0,0,0,1045,1045
Saudi Arabia,0,0,0,0,0,22,22,56,1080,1080,237,237,246,967,731,710,838,838,967,383,555,45,0,0,0,0,0,1080,0,0,0,0,1080,0,0,0,0,1080,1080
Scotland,0,0,0,1066,1066,1066,1066,1066,11,20,1066,1066,1066,746,474,470,473,474,746,464,457,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,0,1066,1066
Senegal,0,0,0,3,3,33,35,71,1083,1083,289,289,295,1067,1022,974,969,1032,1067,405,405,45,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,1083,1083
Serbia,0,0,0,9,11,23,24,66,12,12,238,240,251,975,950,848,848,867,975,554,554,45,0,0,0,1085,0,1085,0,0,0,0,0,0,0,0,0,1050,1050
Seychelles,0,0,0,0,3,296,296,161,1067,1067,1067,1067,1067,1051,1046,968,966,979,1051,366,366,45,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,1045,1045
Sierra Leone,0,0,0,0,0,23,23,72,1051,1051,1043,1051,1009,1032,1049,998,995,1000,1032,393,393,45,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,1051,1051
Singapore,0,0,0,0,2,58,58,81,1119,1119,1119,965,971,712,455,454,357,357,712,455,357,45,0,0,0,0,0,1119,0,0,0,0,1119,0,0,0,0,1086,1086
Sint Maarten (Dutch part),0,0,0,547,547,547,547,547,547,547,547,547,547,538,547,496,496,499,538,1,1,547,0,547,547,547,0,547,547,547,547,547,547,547,0,547,0,547,547
Slovakia,0,0,0,0,2,26,26,57,14,9,237,237,249,1001,1076,1001,1001,1003,1001,502,502,45,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,928,928
Slovenia,0,0,0,32,32,41,42,84,46,46,255,255,271,755,584,570,571,578,755,553,554,45,0,0,0,0,0,1109,0,0,0,0,1109,0,0,0,0,958,958
Solomon Islands,0,0,0,0,1,470,471,511,856,856,856,856,856,837,856,800,800,804,837,269,269,45,0,0,0,0,0,0,0,0,856,856,0,0,0,0,0,856,856
Somalia,0,0,0,0,0,23,24,76,1066,1066,1063,1066,1012,1066,1059,984,985,990,1066,441,441,45,0,0,0,0,1066,1066,0,0,1066,1066,0,0,0,1066,0,1066,1066
South Africa,0,0,0,27,28,49,51,84,231,273,284,307,270,803,673,574,589,635,803,426,427,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,955
South America,1089,0,0,1,0,13,0,1089,1089,1089,1089,1089,1089,311,312,306,306,311,311,312,312,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,0,1089,1089
South Korea,0,0,0,0,1,29,29,73,71,990,261,261,268,466,468,466,401,401,466,466,402,45,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,988,988
South Sudan,0,0,0,0,0,40,40,77,1046,1046,870,961,411,1046,1043,969,969,978,1046,396,396,45,1046,0,0,0,0,1046,0,0,1046,1046,1046,1046,0,0,0,1046,1046
Spain,0,0,0,0,9,31,44,74,183,183,285,285,291,965,891,773,769,776,965,345,345,45,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,957,957
Sri Lanka,0,0,0,0,0,61,61,101,1115,1115,275,275,289,993,780,727,731,796,993,475,475,45,0,0,0,0,0,0,0,0,0,0,1115,0,0,0,0,1115,1115
Sudan,0,0,0,1,2,0,0,83,1069,1069,1068,1069,1069,1059,1066,1031,1034,1040,1059,427,427,45,0,0,0,0,0,1069,0,0,1069,1069,0,0,0,0,0,1069,1069
Suriname,0,0,0,0,0,20,20,128,1068,1068,848,848,854,1055,906,833,834,857,1055,613,613,45,0,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,1058,1058
Sweden,0,0,0,0,5,38,50,78,56,41,389,389,397,1086,1110,1002,1002,1003,1086,347,347,45,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,960,960
Switzerland,0,0,0,0,0,10,28,53,35,35,327,327,327,324,328,314,314,314,324,302,302,45,0,0,0,0,0,1086,0,0,0,0,1086,0,0,0,0,937,937
Syria,0,0,0,0,0,7,7,108,1060,1060,1052,1060,979,1042,1058,1010,1015,1017,1042,374,374,45,1060,0,1060,0,1060,1060,0,1060,1060,1060,0,0,0,0,0,1060,1060
Taiwan,0,0,0,6,9,31,31,106,1126,1126,238,238,272,803,692,594,599,665,803,431,431,51,1126,0,1126,0,1126,1126,0,1126,1126,1126,1126,1126,0,1126,0,1090,1090
Tajikistan,0,0,0,0,0,2,2,47,1020,1020,1020,1020,1020,1008,1018,957,958,962,1008,444,444,45,0,0,0,0,0,0,0,0,1020,1020,0,0,0,0,0,1012,1012
Tanzania,0,0,0,0,0,15,15,76,1066,1066,1064,1066,1046,1065,1066,1033,1036,1033,1065,576,576,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,1066
Thailand,0,0,0,18,23,57,60,115,1138,1138,256,256,282,732,618,603,603,608,732,558,558,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,1102
Timor,0,0,0,0,1,380,380,370,1060,1060,1023,1051,767,1024,1059,981,981,984,1024,403,403,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1060
Togo,0,0,0,2,2,23,23,100,1078,1078,311,344,251,1058,1078,1030,1024,1039,1058,401,401,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1078
Tokelau,0,0,0,533,533,533,533,533,533,533,533,533,533,530,533,525,525,528,530,1,1,533,533,533,533,533,533,533,533,533,533,533,533,533,0,533,0,533,533
Tonga,0,0,0,192,192,326,326,343,666,666,666,666,666,655,666,627,628,629,655,79,79,45,0,0,0,0,0,666,0,0,0,0,666,0,0,0,0,666,666
Trinidad and Tobago,0,0,0,0,0,11,11,65,1068,1068,560,597,564,810,666,611,609,628,810,485,485,45,0,0,0,0,0,1068,0,0,1068,1068,0,0,0,0,0,1068,1068
Tunisia,0,0,0,0,1,15,16,64,1078,1078,892,975,650,932,804,750,750,756,932,395,395,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,1054
Turkey,0,0,0,0,1,6,6,52,1071,1071,275,275,283,605,453,438,468,468,605,393,423,45,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,1071,1071
Turkmenistan,0,0,0,645,645,645,645,645,645,645,645,645,645,644,645,642,641,641,644,1,1,645,0,0,0,0,0,645,0,0,645,645,0,0,0,0,0,645,645
Turks and Caicos Islands,0,0,0,0,1,8,8,1054,1054,1054,1054,1054,1054,1052,1054,1028,1024,1029,1052,328,328,1054,0,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,0,1054,0,1054,1054
Tuvalu,0,0,0,391,392,659,659,601,659,659,659,659,659,657,659,648,648,651,657,168,168,659,0,659,659,659,0,0,659,0,659,659,659,659,0,659,0,659,659
Uganda,0,0,0,0,2,125,126,90,1061,1061,417,473,269,1042,1000,924,965,1019,1042,412,412,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1061
Ukraine,0,0,0,0,0,10,10,66,1079,1079,523,605,405,1012,723,718,718,739,1012,711,711,45,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,1056,1056
United Arab Emirates,0,0,0,0,0,51,51,93,1113,1113,267,267,243,965,782,738,984,923,965,582,587,45,0,0,0,0,0,1113,0,0,0,0,1113,0,0,0,0,1113,1113
United Kingdom,0,0,0,1,10,0,9,76,331,74,334,336,342,772,510,509,503,502,772,510,503,45,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,959,959
United States,0,0,0,0,1,38,40,86,176,176,280,280,286,545,334,333,333,333,545,334,334,45,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,969,969
United States Virgin Islands,0,0,0,818,818,818,818,818,818,818,17,17,107,818,818,818,818,818,818,818,818,818,0,0,0,0,818,818,0,0,818,818,818,818,0,818,0,818,818
Upper middle income,1120,0,0,0,0,0,0,1120,1120,1120,1120,1120,1120,342,334,328,328,342,342,334,334,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,1120,1120
Uruguay,0,0,0,0,1,15,15,51,1069,1069,312,313,320,383,409,381,382,412,383,352,352,45,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,1036,1036
Uzbekistan,0,0,0,0,0,12,12,57,1067,1067,1067,1067,1067,1047,1005,929,954,1013,1047,412,412,45,0,0,0,0,0,1067,0,0,0,0,1067,0,0,0,0,1036,1036
Vanuatu,0,0,0,0,2,162,162,529,827,827,825,827,826,817,827,790,790,797,817,303,303,45,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,827,827
Vatican,0,0,0,0,0,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,0,1076,0,1076,1076
Venezuela,0,0,0,0,0,13,14,56,1068,1068,1068,1068,1068,1064,1068,1042,1043,1050,1064,410,410,45,0,0,0,0,0,1068,0,0,1068,1068,1068,0,0,0,0,1068,1068
Vietnam,0,0,0,0,2,190,192,103,1119,1119,941,984,932,1038,790,714,719,853,1038,443,443,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,1119
Wales,0,0,0,1052,1052,1052,1052,1052,0,0,1052,1052,1052,641,320,313,366,321,641,300,300,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,0,1052,1052
Wallis and Futuna,0,0,0,0,0,153,153,849,849,849,849,849,849,842,849,802,808,813,842,178,178,849,849,849,849,849,849,849,849,849,849,849,849,849,0,849,0,849,849
Western Sahara,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
World,1120,0,0,0,0,0,0,44,1120,1120,1120,1120,1120,342,321,315,315,326,342,321,321,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,1120
Yemen,0,0,0,0,1,20,20,79,1041,1041,1039,1041,983,1029,1041,1003,1002,1010,1029,437,437,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,1041
Zambia,0,0,0,0,0,15,15,87,1064,1064,280,306,256,1061,927,809,961,836,1061,403,479,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1064
Zimbabwe,0,0,0,0,7,3,3,112,1062,1062,388,428,291,826,593,542,542,570,826,464,464,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1062
